Date,Price
2018/01/31,39718.3343
2018/02/28,38254.3261
2018/03/30,37281.9337
2018/04/30,37424.939
2018/05/31,38326.0313
2018/06/29,38561.6462
2018/07/31,39996.7351
2018/08/31,41299.9548
2018/09/28,41534.7195
2018/10/31,38695.7272
2018/11/30,39484.1683
2018/12/31,35917.2216
2019/01/31,38795.4256
2019/02/28,40041.0672
2019/03/29,40818.878
2019/04/30,42471.6046
2019/05/31,39772.5821
2019/06/28,42575.3583
2019/07/31,43187.2818
2019/08/30,42503.1924
2019/09/30,43298.1954
2019/10/31,44235.9175
2019/11/29,45841.677
2019/12/31,47221.9351
2020/01/31,47201.1871
2020/02/28,43315.5204
2020/03/31,37965.2518
2020/04/30,42832.165
2020/05/29,44872.2574
2020/06/30,45764.3804
2020/07/31,48344.6634
2020/08/31,51819.8023
2020/09/30,49850.5532
2020/10/30,48524.837
2020/11/30,53836.4566
2020/12/31,55904.5241
2021/01/29,55335.5599
2021/02/26,56861.4784
2021/03/31,59351.2862
2021/04/30,62518.7526
2021/05/31,62955.2313
2021/06/30,64424.723
2021/07/30,65955.0149
2021/08/31,67960.4814
2021/09/30,64798.6966
2021/10/29,69337.927
2021/11/30,68856.0102
2021/12/31,71936.7528
2022/01/31,68214.1273
2022/02/28,66169.7377
2022/03/31,68625.8341
2022/04/29,62641.6378
2022/05/31,62756.604
2022/06/30,57572.8284
2022/07/29,62881.4444
2022/08/31,60316.9745
